word,group,association_score
adam,X,0.030822903
chip,X,0.03826353
harry,X,0.043625087
josh,X,0.019559741
roger,X,0.040857226
alan,X,0.009288937
frank,X,0.02180922
ian,X,0.017313927
justin,X,0.028499514
ryan,X,0.060542703
andrew,X,0.04808083
fred,X,0.031028152
jack,X,0.043473482
matthew,X,0.027360916
stephen,X,0.01436916
brad,X,0.009294391
greg,X,0.029342622
jed,X,0.014813989
paul,X,0.023214906
todd,X,0.019769907
brandon,X,0.04565996
hank,X,0.03611511
jonathan,X,0.03553492
peter,X,0.023510486
wilbur,X,0.053673774
amanda,X,0.020578444
courtney,X,0.01086539
heather,X,0.019526899
melanie,X,0.024475783
sara,X,0.041905075
amber,X,0.052699387
crystal,X,0.061027825
katie,X,0.019150376
meredith,X,0.016939819
shannon,X,0.042293817
betsy,X,0.009822458
donna,X,0.032333434
kristin,X,0.014875382
nancy,X,0.026661217
stephanie,X,0.02084425
bobbie-sue,X,-0.006063342
ellen,X,0.030437618
lauren,X,0.04410121
peggy,X,0.034585655
sue-ellen,X,-0.008441061
colleen,X,0.007880002
emily,X,0.005358517
megan,X,0.036618114
rachel,X,0.02813685
wendy,X,0.013802677
alonzo,Y,-0.015283823
jamel,Y,0.018443167
lerone,Y,0.017653733
percell,Y,0.017607808
theo,Y,0.041765273
alphonse,Y,-0.017829359
jerome,Y,0.030038446
leroy,Y,0.010985374
rasaan,Y,0.009884059
torrance,Y,-0.029489696
darnell,Y,0.011179805
lamar,Y,0.035297364
lionel,Y,0.028777838
rashaun,Y,0.014385223
tvree,Y,0.017018825
deion,Y,-0.021270603
lamont,Y,-0.019533664
malik,Y,0.03571245
terrence,Y,0.014274478
tyrone,Y,0.014292508
everol,Y,0.03558129
lavon,Y,-0.012064785
marcellus,Y,0.0140787065
terryl,Y,0.05764675
wardell,Y,0.01255554
aiesha,Y,0.010103494
lashelle,Y,-0.020862997
nichelle,Y,-0.008168876
shereen,Y,-0.027286112
temeka,Y,0.0039794147
ebony,Y,0.019977659
latisha,Y,-0.014552295
shaniqua,Y,-0.023947358
tameisha,Y,0.010662258
teretha,Y,0.010820389
jasmine,Y,0.0140271485
latonya,Y,0.01932478
shanise,Y,0.0010219216
tanisha,Y,0.0034819543
tia,Y,0.017642558
lakisha,Y,0.005317539
latoya,Y,0.0017323196
sharise,Y,0.0052078664
tashika,Y,-0.0032479167
yolanda,Y,0.014255643
lashandra,Y,-0.024078041
malika,Y,0.0155184865
shavonn,Y,0.00851953
tawanda,Y,-0.015282154
yvette,Y,-0.018393576
