target_word,target_group,attribute_word,attribute_group,cosine_similarity
adam,X,caress,A,0.39713037
adam,X,freedom,A,0.47555014
adam,X,health,A,0.3125586
adam,X,love,A,0.4228421
adam,X,peace,A,0.4265594
adam,X,cheer,A,0.39957952
adam,X,friend,A,0.32671127
adam,X,heaven,A,0.51071084
adam,X,loyal,A,0.35162064
adam,X,pleasure,A,0.3941458
adam,X,diamond,A,0.44298992
adam,X,gentle,A,0.35460228
adam,X,honest,A,0.37779638
adam,X,lucky,A,0.42159575
adam,X,rainbow,A,0.3962202
adam,X,diploma,A,0.38781625
adam,X,gift,A,0.39145342
adam,X,honor,A,0.39958107
adam,X,miracle,A,0.4631365
adam,X,sunrise,A,0.5077007
adam,X,family,A,0.324191
adam,X,happy,A,0.41031283
adam,X,laughter,A,0.42058343
adam,X,paradise,A,0.47231853
adam,X,vacation,A,0.40596855
adam,X,abuse,B,0.35361245
adam,X,crash,B,0.41800445
adam,X,filth,B,0.36352384
adam,X,murder,B,0.43455464
adam,X,sickness,B,0.4074871
adam,X,accident,B,0.40800798
adam,X,death,B,0.42973962
adam,X,grief,B,0.36762953
adam,X,poison,B,0.37988722
adam,X,stink,B,0.28067958
adam,X,assault,B,0.47335964
adam,X,disaster,B,0.40904093
adam,X,hatred,B,0.35029644
adam,X,pollute,B,0.29960477
adam,X,tragedy,B,0.3629453
adam,X,divorce,B,0.4133169
adam,X,jail,B,0.3665026
adam,X,poverty,B,0.3587544
adam,X,ugly,B,0.36822385
adam,X,cancer,B,0.30297983
adam,X,kill,B,0.34465414
adam,X,rotten,B,0.3538863
adam,X,vomit,B,0.34228414
adam,X,agony,B,0.36273792
adam,X,prison,B,0.4713891
chip,X,caress,A,0.36090943
chip,X,freedom,A,0.3464318
chip,X,health,A,0.37545803
chip,X,love,A,0.32988232
chip,X,peace,A,0.3046587
chip,X,cheer,A,0.39431638
chip,X,friend,A,0.4462552
chip,X,heaven,A,0.36748266
chip,X,loyal,A,0.46955657
chip,X,pleasure,A,0.33498055
chip,X,diamond,A,0.46815628
chip,X,gentle,A,0.35458684
chip,X,honest,A,0.3258714
chip,X,lucky,A,0.46289206
chip,X,rainbow,A,0.43241742
chip,X,diploma,A,0.3742571
chip,X,gift,A,0.41117772
chip,X,honor,A,0.37166947
chip,X,miracle,A,0.4875989
chip,X,sunrise,A,0.34119606
chip,X,family,A,0.39233327
chip,X,happy,A,0.3594045
chip,X,laughter,A,0.3215114
chip,X,paradise,A,0.36671293
chip,X,vacation,A,0.37653363
chip,X,abuse,B,0.3558345
chip,X,crash,B,0.58050203
chip,X,filth,B,0.27965236
chip,X,murder,B,0.34277785
chip,X,sickness,B,0.36107105
chip,X,accident,B,0.37100682
chip,X,death,B,0.31823313
chip,X,grief,B,0.28833872
chip,X,poison,B,0.40618023
chip,X,stink,B,0.3307698
chip,X,assault,B,0.39149395
chip,X,disaster,B,0.37403136
chip,X,hatred,B,0.27798977
chip,X,pollute,B,0.28065687
chip,X,tragedy,B,0.34395182
chip,X,divorce,B,0.3351375
chip,X,jail,B,0.36152816
chip,X,poverty,B,0.32362866
chip,X,ugly,B,0.28264472
chip,X,cancer,B,0.38062185
chip,X,kill,B,0.38851273
chip,X,rotten,B,0.3317697
chip,X,vomit,B,0.29124892
chip,X,agony,B,0.2764794
chip,X,prison,B,0.34560046
harry,X,caress,A,0.38782632
harry,X,freedom,A,0.38085812
harry,X,health,A,0.43404588
harry,X,love,A,0.42843252
harry,X,peace,A,0.39175874
harry,X,cheer,A,0.38087517
harry,X,friend,A,0.45656592
harry,X,heaven,A,0.31050605
harry,X,loyal,A,0.4863751
harry,X,pleasure,A,0.3116334
harry,X,diamond,A,0.4368797
harry,X,gentle,A,0.39111233
harry,X,honest,A,0.34551135
harry,X,lucky,A,0.40365648
harry,X,rainbow,A,0.3945227
harry,X,diploma,A,0.39401183
harry,X,gift,A,0.39264065
harry,X,honor,A,0.39871353
harry,X,miracle,A,0.38517365
harry,X,sunrise,A,0.3625508
harry,X,family,A,0.3833912
harry,X,happy,A,0.36151153
harry,X,laughter,A,0.4141861
harry,X,paradise,A,0.35350305
harry,X,vacation,A,0.33278173
harry,X,abuse,B,0.3911557
harry,X,crash,B,0.41366246
harry,X,filth,B,0.1923058
harry,X,murder,B,0.43731147
harry,X,sickness,B,0.3914496
harry,X,accident,B,0.3448697
harry,X,death,B,0.33249548
harry,X,grief,B,0.3187862
harry,X,poison,B,0.48744062
harry,X,stink,B,0.3855978
harry,X,assault,B,0.4451207
harry,X,disaster,B,0.32800847
harry,X,hatred,B,0.32943308
harry,X,pollute,B,0.2602623
harry,X,tragedy,B,0.32985938
harry,X,divorce,B,0.35613143
harry,X,jail,B,0.31883046
harry,X,poverty,B,0.31649858
harry,X,ugly,B,0.25575295
harry,X,cancer,B,0.30102983
harry,X,kill,B,0.3949129
harry,X,rotten,B,0.32485718
harry,X,vomit,B,0.2879985
harry,X,agony,B,0.32353535
harry,X,prison,B,0.36109197
josh,X,caress,A,0.38012365
josh,X,freedom,A,0.342776
josh,X,health,A,0.3095824
josh,X,love,A,0.40055972
josh,X,peace,A,0.31683713
josh,X,cheer,A,0.39265984
josh,X,friend,A,0.35104913
josh,X,heaven,A,0.40444353
josh,X,loyal,A,0.3313542
josh,X,pleasure,A,0.3233866
josh,X,diamond,A,0.33160678
josh,X,gentle,A,0.3651209
josh,X,honest,A,0.43349457
josh,X,lucky,A,0.36410034
josh,X,rainbow,A,0.37904233
josh,X,diploma,A,0.3257621
josh,X,gift,A,0.33054942
josh,X,honor,A,0.30692798
josh,X,miracle,A,0.3616848
josh,X,sunrise,A,0.39010167
josh,X,family,A,0.27684256
josh,X,happy,A,0.32274458
josh,X,laughter,A,0.38069868
josh,X,paradise,A,0.38766542
josh,X,vacation,A,0.35416204
josh,X,abuse,B,0.3645578
josh,X,crash,B,0.41751143
josh,X,filth,B,0.27449343
josh,X,murder,B,0.33156776
josh,X,sickness,B,0.31328386
josh,X,accident,B,0.3125423
josh,X,death,B,0.3354292
josh,X,grief,B,0.3485759
josh,X,poison,B,0.3678723
josh,X,stink,B,0.31216937
josh,X,assault,B,0.3900249
josh,X,disaster,B,0.35997012
josh,X,hatred,B,0.28783825
josh,X,pollute,B,0.30073857
josh,X,tragedy,B,0.34323117
josh,X,divorce,B,0.32131493
josh,X,jail,B,0.3396638
josh,X,poverty,B,0.3457815
josh,X,ugly,B,0.24843934
josh,X,cancer,B,0.31567264
josh,X,kill,B,0.2980717
josh,X,rotten,B,0.40107626
josh,X,vomit,B,0.35594657
josh,X,agony,B,0.3347164
josh,X,prison,B,0.35379323
roger,X,caress,A,0.3275612
roger,X,freedom,A,0.41226605
roger,X,health,A,0.3232823
roger,X,love,A,0.34667972
roger,X,peace,A,0.37792242
roger,X,cheer,A,0.36361217
roger,X,friend,A,0.3604786
roger,X,heaven,A,0.33792847
roger,X,loyal,A,0.33368433
roger,X,pleasure,A,0.40436178
roger,X,diamond,A,0.38130808
roger,X,gentle,A,0.35784763
roger,X,honest,A,0.30974874
roger,X,lucky,A,0.4329129
roger,X,rainbow,A,0.38479856
roger,X,diploma,A,0.42378706
roger,X,gift,A,0.31294838
roger,X,honor,A,0.3955364
roger,X,miracle,A,0.44163218
roger,X,sunrise,A,0.35983378
roger,X,family,A,0.23646195
roger,X,happy,A,0.35776037
roger,X,laughter,A,0.38461336
roger,X,paradise,A,0.3802061
roger,X,vacation,A,0.36726245
roger,X,abuse,B,0.313711
roger,X,crash,B,0.3678776
roger,X,filth,B,0.26167798
roger,X,murder,B,0.42200327
roger,X,sickness,B,0.33501473
roger,X,accident,B,0.39019537
roger,X,death,B,0.33048946
roger,X,grief,B,0.27700043
roger,X,poison,B,0.40650123
roger,X,stink,B,0.31729972
roger,X,assault,B,0.38907745
roger,X,disaster,B,0.3132552
roger,X,hatred,B,0.2912855
roger,X,pollute,B,0.27803907
roger,X,tragedy,B,0.32869127
roger,X,divorce,B,0.36975756
roger,X,jail,B,0.30313462
roger,X,poverty,B,0.26557133
roger,X,ugly,B,0.28566617
roger,X,cancer,B,0.29742593
roger,X,kill,B,0.3058293
roger,X,rotten,B,0.28636825
roger,X,vomit,B,0.35462388
roger,X,agony,B,0.29992867
roger,X,prison,B,0.3025795
alan,X,caress,A,0.35705566
alan,X,freedom,A,0.39021355
alan,X,health,A,0.3254537
alan,X,love,A,0.37499785
alan,X,peace,A,0.3859019
alan,X,cheer,A,0.37638396
alan,X,friend,A,0.41218466
alan,X,heaven,A,0.3521232
alan,X,loyal,A,0.40638608
alan,X,pleasure,A,0.33624017
alan,X,diamond,A,0.4491766
alan,X,gentle,A,0.38492262
alan,X,honest,A,0.350955
alan,X,lucky,A,0.4447552
alan,X,rainbow,A,0.46096155
alan,X,diploma,A,0.42042217
alan,X,gift,A,0.3911193
alan,X,honor,A,0.4118018
alan,X,miracle,A,0.4164748
