target_word,target_group,attribute_word,attribute_group,cosine_similarity
john,X,executive,A,0.42345098
john,X,management,A,0.36870974
john,X,professional,A,0.42160565
john,X,corporation,A,0.388036
john,X,salary,A,0.4220558
john,X,office,A,0.44083324
john,X,business,A,0.36336657
john,X,career,A,0.45596898
john,X,home,B,0.40064317
john,X,parents,B,0.5126834
john,X,children,B,0.5227078
john,X,family,B,0.4703652
john,X,cousins,B,0.4686215
john,X,marriage,B,0.5465803
john,X,wedding,B,0.44301844
john,X,relatives,B,0.4436109
paul,X,executive,A,0.37910286
paul,X,management,A,0.41221625
paul,X,professional,A,0.37556034
paul,X,corporation,A,0.34259135
paul,X,salary,A,0.42199457
paul,X,office,A,0.39879844
paul,X,business,A,0.35976696
paul,X,career,A,0.3981831
paul,X,home,B,0.34131253
paul,X,parents,B,0.41463518
paul,X,children,B,0.49429643
paul,X,family,B,0.32405502
paul,X,cousins,B,0.4140364
paul,X,marriage,B,0.5165895
paul,X,wedding,B,0.44445574
paul,X,relatives,B,0.3337836
mike,X,executive,A,0.32006103
mike,X,management,A,0.32927185
mike,X,professional,A,0.35108447
mike,X,corporation,A,0.31195635
mike,X,salary,A,0.34310693
mike,X,office,A,0.40811864
mike,X,business,A,0.2751218
mike,X,career,A,0.3230408
mike,X,home,B,0.30339462
mike,X,parents,B,0.3341921
mike,X,children,B,0.37826747
mike,X,family,B,0.2549246
mike,X,cousins,B,0.2736851
mike,X,marriage,B,0.35742688
mike,X,wedding,B,0.33023974
mike,X,relatives,B,0.272861
kevin,X,executive,A,0.37568188
kevin,X,management,A,0.3853581
kevin,X,professional,A,0.40223444
kevin,X,corporation,A,0.39375442
kevin,X,salary,A,0.40954125
kevin,X,office,A,0.4600588
kevin,X,business,A,0.2987659
kevin,X,career,A,0.4300397
kevin,X,home,B,0.32611573
kevin,X,parents,B,0.4316322
kevin,X,children,B,0.462638
kevin,X,family,B,0.36434102
kevin,X,cousins,B,0.38672015
kevin,X,marriage,B,0.45471847
kevin,X,wedding,B,0.3820261
kevin,X,relatives,B,0.36321533
steve,X,executive,A,0.4105247
steve,X,management,A,0.43597847
steve,X,professional,A,0.40113518
steve,X,corporation,A,0.3777375
steve,X,salary,A,0.40568888
steve,X,office,A,0.40678713
steve,X,business,A,0.33494654
steve,X,career,A,0.37032694
steve,X,home,B,0.30607134
steve,X,parents,B,0.3767248
steve,X,children,B,0.47744596
steve,X,family,B,0.2752995
steve,X,cousins,B,0.3097133
steve,X,marriage,B,0.3349845
steve,X,wedding,B,0.36021382
steve,X,relatives,B,0.3176223
greg,X,executive,A,0.4105399
greg,X,management,A,0.40202144
greg,X,professional,A,0.3939275
greg,X,corporation,A,0.4020799
greg,X,salary,A,0.3849643
greg,X,office,A,0.46311858
greg,X,business,A,0.33485818
greg,X,career,A,0.408962
greg,X,home,B,0.27637598
greg,X,parents,B,0.43591365
greg,X,children,B,0.44903398
greg,X,family,B,0.3504541
greg,X,cousins,B,0.37339193
greg,X,marriage,B,0.40357167
greg,X,wedding,B,0.32367122
greg,X,relatives,B,0.34757683
jeff,X,executive,A,0.373577
jeff,X,management,A,0.36122686
jeff,X,professional,A,0.36379802
jeff,X,corporation,A,0.3726756
jeff,X,salary,A,0.3815449
jeff,X,office,A,0.40455043
jeff,X,business,A,0.29709578
jeff,X,career,A,0.33691016
