target_word,target_group,attribute_word,attribute_group,cosine_similarity
math,X,brother,A,0.39311472
math,X,father,A,0.37462306
math,X,uncle,A,0.32279742
math,X,grandfather,A,0.39905164
math,X,son,A,0.40590215
math,X,he,A,0.36313137
math,X,his,A,0.32014307
math,X,him,A,0.34058678
math,X,sister,B,0.41346383
math,X,mother,B,0.4436459
math,X,aunt,B,0.30892372
math,X,grandmother,B,0.41287908
math,X,daughter,B,0.42634603
math,X,she,B,0.38019016
math,X,hers,B,0.34083393
math,X,her,B,0.36070308
algebra,X,brother,A,0.26390648
algebra,X,father,A,0.27012408
algebra,X,uncle,A,0.23677236
algebra,X,grandfather,A,0.23136963
algebra,X,son,A,0.34895965
algebra,X,he,A,0.2981788
algebra,X,his,A,0.28764012
algebra,X,him,A,0.28301352
algebra,X,sister,B,0.26405674
algebra,X,mother,B,0.32003766
algebra,X,aunt,B,0.2645942
algebra,X,grandmother,B,0.28138176
algebra,X,daughter,B,0.35197338
algebra,X,she,B,0.3079204
algebra,X,hers,B,0.32773036
algebra,X,her,B,0.31194675
geometry,X,brother,A,0.37117738
geometry,X,father,A,0.34899092
geometry,X,uncle,A,0.3505985
geometry,X,grandfather,A,0.35822517
geometry,X,son,A,0.39375007
geometry,X,he,A,0.33124554
geometry,X,his,A,0.3191601
geometry,X,him,A,0.306417
geometry,X,sister,B,0.39269575
geometry,X,mother,B,0.37918544
geometry,X,aunt,B,0.30322257
geometry,X,grandmother,B,0.37065065
geometry,X,daughter,B,0.4158523
geometry,X,she,B,0.3246346
geometry,X,hers,B,0.3224486
geometry,X,her,B,0.30633935
calculus,X,brother,A,0.3001194
calculus,X,father,A,0.30570883
calculus,X,uncle,A,0.27302408
calculus,X,grandfather,A,0.2803465
calculus,X,son,A,0.33984447
calculus,X,he,A,0.30610812
calculus,X,his,A,0.2880779
calculus,X,him,A,0.28817877
calculus,X,sister,B,0.31109524
calculus,X,mother,B,0.3522917
calculus,X,aunt,B,0.26559976
calculus,X,grandmother,B,0.29531637
calculus,X,daughter,B,0.35773906
calculus,X,she,B,0.31184238
calculus,X,hers,B,0.30891967
calculus,X,her,B,0.29255122
equations,X,brother,A,0.38532722
equations,X,father,A,0.3600669
equations,X,uncle,A,0.3564449
equations,X,grandfather,A,0.41806328
equations,X,son,A,0.40254804
equations,X,he,A,0.30012017
equations,X,his,A,0.28424144
equations,X,him,A,0.27209878
equations,X,sister,B,0.39945984
equations,X,mother,B,0.3679576
equations,X,aunt,B,0.3327515
equations,X,grandmother,B,0.42298698
equations,X,daughter,B,0.4336375
equations,X,she,B,0.28350183
equations,X,hers,B,0.26399398
equations,X,her,B,0.25543082
computation,X,brother,A,0.3703844
computation,X,father,A,0.37162417
computation,X,uncle,A,0.31742197
computation,X,grandfather,A,0.40979278
computation,X,son,A,0.41382247
computation,X,he,A,0.36671615
computation,X,his,A,0.3182289
computation,X,him,A,0.34599364
computation,X,sister,B,0.3972192
computation,X,mother,B,0.43850413
computation,X,aunt,B,0.31014225
computation,X,grandmother,B,0.42835498
computation,X,daughter,B,0.43862855
computation,X,she,B,0.377586
computation,X,hers,B,0.32730556
computation,X,her,B,0.36197755
numbers,X,brother,A,0.33899304
numbers,X,father,A,0.32399678
numbers,X,uncle,A,0.30811366
numbers,X,grandfather,A,0.3311811
numbers,X,son,A,0.3673507
numbers,X,he,A,0.3459422
numbers,X,his,A,0.33619732
numbers,X,him,A,0.3220249
numbers,X,sister,B,0.33920437
numbers,X,mother,B,0.3614258
numbers,X,aunt,B,0.25606835
numbers,X,grandmother,B,0.340508
numbers,X,daughter,B,0.3550916
numbers,X,she,B,0.34841943
numbers,X,hers,B,0.35102525
numbers,X,her,B,0.3353057
addition,X,brother,A,0.3990186
addition,X,father,A,0.35565758
addition,X,uncle,A,0.37225044
addition,X,grandfather,A,0.36057663
addition,X,son,A,0.41982016
addition,X,he,A,0.3224025
addition,X,his,A,0.31074595
addition,X,him,A,0.3064707
addition,X,sister,B,0.4039914
addition,X,mother,B,0.42904404
addition,X,aunt,B,0.3370081
addition,X,grandmother,B,0.39332646
addition,X,daughter,B,0.40744483
addition,X,she,B,0.3214724
addition,X,hers,B,0.28808254
addition,X,her,B,0.307155
poetry,Y,brother,A,0.39425474
poetry,Y,father,A,0.4122547
poetry,Y,uncle,A,0.31607237
poetry,Y,grandfather,A,0.3967592
poetry,Y,son,A,0.443902
poetry,Y,he,A,0.42445758
poetry,Y,his,A,0.40036
poetry,Y,him,A,0.40386683
poetry,Y,sister,B,0.39595675
poetry,Y,mother,B,0.43689072
poetry,Y,aunt,B,0.32212126
poetry,Y,grandmother,B,0.42123896
poetry,Y,daughter,B,0.43641087
poetry,Y,she,B,0.44895416
poetry,Y,hers,B,0.4064916
poetry,Y,her,B,0.4342762
art,Y,brother,A,0.42018884
art,Y,father,A,0.408157
art,Y,uncle,A,0.38746414
art,Y,grandfather,A,0.4042828
art,Y,son,A,0.43283314
art,Y,he,A,0.44137734
art,Y,his,A,0.3726865
art,Y,him,A,0.41902447
art,Y,sister,B,0.41689968
art,Y,mother,B,0.44525313
art,Y,aunt,B,0.33113468
art,Y,grandmother,B,0.41727835
art,Y,daughter,B,0.39860803
art,Y,she,B,0.40917557
art,Y,hers,B,0.32925195
art,Y,her,B,0.3887513
shakespeare,Y,brother,A,0.32144696
shakespeare,Y,father,A,0.40921968
shakespeare,Y,uncle,A,0.3614025
shakespeare,Y,grandfather,A,0.43639314
shakespeare,Y,son,A,0.40740016
shakespeare,Y,he,A,0.4040146
shakespeare,Y,his,A,0.3386514
shakespeare,Y,him,A,0.397147
shakespeare,Y,sister,B,0.32684445
shakespeare,Y,mother,B,0.41532707
shakespeare,Y,aunt,B,0.33547637
shakespeare,Y,grandmother,B,0.4141721
shakespeare,Y,daughter,B,0.39493617
shakespeare,Y,she,B,0.4039992
shakespeare,Y,hers,B,0.33218879
shakespeare,Y,her,B,0.3743661
dance,Y,brother,A,0.42207366
dance,Y,father,A,0.3565195
dance,Y,uncle,A,0.34568858
dance,Y,grandfather,A,0.40453276
dance,Y,son,A,0.360709
dance,Y,he,A,0.3751563
dance,Y,his,A,0.33544284
dance,Y,him,A,0.36168268
dance,Y,sister,B,0.45260856
dance,Y,mother,B,0.44875866
dance,Y,aunt,B,0.32365388
dance,Y,grandmother,B,0.4262801
dance,Y,daughter,B,0.41185582
dance,Y,she,B,0.4241342
dance,Y,hers,B,0.3843659
dance,Y,her,B,0.41009542
literature,Y,brother,A,0.3927813
literature,Y,father,A,0.40790474
literature,Y,uncle,A,0.33185267
literature,Y,grandfather,A,0.4451952
literature,Y,son,A,0.41464296
literature,Y,he,A,0.41189873
literature,Y,his,A,0.316575
literature,Y,him,A,0.37255388
literature,Y,sister,B,0.3955667
literature,Y,mother,B,0.44983327
literature,Y,aunt,B,0.32573226
literature,Y,grandmother,B,0.45871872
literature,Y,daughter,B,0.39727116
literature,Y,she,B,0.42362714
literature,Y,hers,B,0.32693526
literature,Y,her,B,0.3845209
novel,Y,brother,A,0.47874334
novel,Y,father,A,0.37917525
novel,Y,uncle,A,0.3680828
novel,Y,grandfather,A,0.47339615
novel,Y,son,A,0.45985377
novel,Y,he,A,0.38264173
novel,Y,his,A,0.31975174
novel,Y,him,A,0.341448
novel,Y,sister,B,0.5146963
novel,Y,mother,B,0.45962876
novel,Y,aunt,B,0.3600782
novel,Y,grandmother,B,0.4564407
novel,Y,daughter,B,0.47384363
novel,Y,she,B,0.40911728
novel,Y,hers,B,0.32416666
novel,Y,her,B,0.37015498
symphony,Y,brother,A,0.435678
symphony,Y,father,A,0.39015943
symphony,Y,uncle,A,0.34168983
symphony,Y,grandfather,A,0.43177152
symphony,Y,son,A,0.44678712
symphony,Y,he,A,0.39876342
symphony,Y,his,A,0.37096262
symphony,Y,him,A,0.38468996
symphony,Y,sister,B,0.4470945
symphony,Y,mother,B,0.43241122
symphony,Y,aunt,B,0.34175935
symphony,Y,grandmother,B,0.4269378
symphony,Y,daughter,B,0.4678192
symphony,Y,she,B,0.41570082
symphony,Y,hers,B,0.35875618
symphony,Y,her,B,0.39002126
drama,Y,brother,A,0.48093122
drama,Y,father,A,0.42613807
drama,Y,uncle,A,0.3812157
drama,Y,grandfather,A,0.43151024
drama,Y,son,A,0.47518334
drama,Y,he,A,0.3613948
drama,Y,his,A,0.33622757
drama,Y,him,A,0.3757288
drama,Y,sister,B,0.50380456
drama,Y,mother,B,0.44577998
drama,Y,aunt,B,0.37178487
drama,Y,grandmother,B,0.45761472
drama,Y,daughter,B,0.4971209
drama,Y,she,B,0.39529532
drama,Y,hers,B,0.3491717
drama,Y,her,B,0.41453
