word,group,association_score
adam,X,-0.005651757
chip,X,0.03047704
harry,X,0.025956355
josh,X,0.044676825
roger,X,0.0038463622
alan,X,-0.019192472
frank,X,0.049453653
ian,X,0.0146485865
justin,X,0.012171559
ryan,X,0.002527915
andrew,X,0.01952774
fred,X,0.04425307
jack,X,0.023797449
matthew,X,0.023978926
stephen,X,-0.0018500686
brad,X,0.02811043
greg,X,0.012796398
jed,X,0.0020465404
paul,X,-0.008854225
todd,X,-0.0020535812
brandon,X,0.010509856
hank,X,0.0723405
jonathan,X,0.03692177
peter,X,-0.018068355
wilbur,X,0.037338722
amanda,X,0.001067698
courtney,X,0.032915704
heather,X,0.006191246
melanie,X,0.013240069
sara,X,0.036416918
amber,X,0.010309413
crystal,X,0.083202295
katie,X,-0.0022035614
meredith,X,0.039927922
shannon,X,0.007999398
betsy,X,0.0398546
donna,X,0.024630286
kristin,X,0.04466095
nancy,X,0.010863461
stephanie,X,0.0025942102
ellen,X,0.028993592
lauren,X,0.03077861
peggy,X,0.020823076
colleen,X,0.019684657
emily,X,-0.0012430921
megan,X,0.012299977
rachel,X,0.009854868
wendy,X,-0.019029014
alonzo,Y,0.017300457
jamel,Y,-0.037287537
lerone,Y,0.0076507255
percell,Y,-0.0032476261
theo,Y,-0.003101401
alphonse,Y,-1.2729317e-05
jerome,Y,0.02283527
leroy,Y,0.043688685
rasaan,Y,-0.0026271194
torrance,Y,0.0079721585
darnell,Y,-0.0002772212
lamar,Y,0.04076266
lionel,Y,0.037172362
rashaun,Y,0.004481394
deion,Y,0.020883784
lamont,Y,-0.027090464
malik,Y,0.015102282
terrence,Y,-0.018755674
tyrone,Y,-0.034979332
lavon,Y,-0.0007584691
marcellus,Y,-0.0350091
terryl,Y,-0.0026369654
wardell,Y,-0.0025335606
aiesha,Y,0.016093105
lashelle,Y,0.0029937327
nichelle,Y,0.024920315
shereen,Y,0.010694999
temeka,Y,0.03810224
ebony,Y,0.054840785
latisha,Y,-0.022619504
shaniqua,Y,-0.07481701
tameisha,Y,-0.01099766
jasmine,Y,0.046735935
latonya,Y,-0.04062561
shanise,Y,0.0023186877
tanisha,Y,0.005383931
tia,Y,0.018769145
lakisha,Y,0.0043116137
latoya,Y,-0.048979636
sharise,Y,-0.016165495
tashika,Y,-0.032154996
yolanda,Y,0.013117034
lashandra,Y,-0.011566877
malika,Y,0.0027821101
tawanda,Y,-0.00038994104
yvette,Y,0.013059191
