target_word,target_group,attribute_word,attribute_group,cosine_similarity
john,X,executive,A,-0.06193401
john,X,management,A,-0.013864085
john,X,professional,A,0.07918978
john,X,corporation,A,0.06998472
john,X,salary,A,0.021908017
john,X,office,A,0.080841884
john,X,business,A,0.06637074
john,X,career,A,0.042262647
john,X,home,B,0.055442184
john,X,parents,B,0.03722875
john,X,children,B,0.019730542
john,X,family,B,-0.016233925
john,X,cousins,B,0.110454716
john,X,marriage,B,0.13675153
john,X,wedding,B,0.09653626
john,X,relatives,B,-0.012510793
paul,X,executive,A,-0.041510954
paul,X,management,A,0.026562385
paul,X,professional,A,0.03890265
paul,X,corporation,A,0.069580935
paul,X,salary,A,0.033537865
paul,X,office,A,0.03439203
paul,X,business,A,-0.03292751
paul,X,career,A,-0.017417233
paul,X,home,B,0.017400112
paul,X,parents,B,0.005759122
paul,X,children,B,-0.02846969
paul,X,family,B,0.0056861704
paul,X,cousins,B,0.12870017
paul,X,marriage,B,0.08640907
paul,X,wedding,B,0.09781136
paul,X,relatives,B,0.025938071
mike,X,executive,A,0.043084998
mike,X,management,A,0.021241136
mike,X,professional,A,0.055930577
mike,X,corporation,A,-0.014087281
mike,X,salary,A,0.046090957
mike,X,office,A,0.10547145
mike,X,business,A,0.079262264
mike,X,career,A,0.05265667
mike,X,home,B,-0.015006626
mike,X,parents,B,0.057481892
mike,X,children,B,0.0419548
mike,X,family,B,-0.008435516
mike,X,cousins,B,0.023095265
mike,X,marriage,B,0.069572136
mike,X,wedding,B,0.10285344
mike,X,relatives,B,-0.030016862
kevin,X,executive,A,-0.0542382
kevin,X,management,A,0.07174125
kevin,X,professional,A,0.060766917
kevin,X,corporation,A,-0.014744174
kevin,X,salary,A,0.058339715
kevin,X,office,A,-0.0016926351
kevin,X,business,A,-0.07249743
kevin,X,career,A,0.03378291
kevin,X,home,B,0.03151561
kevin,X,parents,B,0.09887023
kevin,X,children,B,0.0009027523
kevin,X,family,B,0.029922988
kevin,X,cousins,B,0.16379985
kevin,X,marriage,B,0.12178779
kevin,X,wedding,B,0.122748606
kevin,X,relatives,B,0.021049174
steve,X,executive,A,-0.07150765
steve,X,management,A,0.07163483
steve,X,professional,A,0.085290246
steve,X,corporation,A,0.014461103
steve,X,salary,A,0.019435057
steve,X,office,A,0.019557215
steve,X,business,A,0.028176852
steve,X,career,A,0.04209599
steve,X,home,B,0.04247559
steve,X,parents,B,0.03645942
steve,X,children,B,-0.04605396
steve,X,family,B,0.0054751746
steve,X,cousins,B,0.09998252
steve,X,marriage,B,0.10097437
steve,X,wedding,B,0.075022876
steve,X,relatives,B,-0.021090727
greg,X,executive,A,-0.06391996
greg,X,management,A,0.037578985
greg,X,professional,A,0.07810162
greg,X,corporation,A,0.023479374
greg,X,salary,A,0.03033682
greg,X,office,A,0.050103825
greg,X,business,A,-0.037930638
greg,X,career,A,0.03518601
greg,X,home,B,-0.033701
greg,X,parents,B,-0.011252979
greg,X,children,B,-0.11382644
greg,X,family,B,-0.004424601
greg,X,cousins,B,0.09926907
greg,X,marriage,B,0.027645584
greg,X,wedding,B,0.04997257
greg,X,relatives,B,-0.0130472155
jeff,X,executive,A,-0.08031137
jeff,X,management,A,0.035616796
jeff,X,professional,A,0.10825267
jeff,X,corporation,A,-0.031503066
jeff,X,salary,A,-0.005992502
jeff,X,office,A,0.047399323
jeff,X,business,A,-0.02328024
jeff,X,career,A,0.067510314
jeff,X,home,B,-0.010893868
jeff,X,parents,B,0.026190644
jeff,X,children,B,-0.040464945
jeff,X,family,B,0.03485162
jeff,X,cousins,B,0.13011192
jeff,X,marriage,B,0.07308128
jeff,X,wedding,B,0.14301163
jeff,X,relatives,B,0.0157982
bill,X,executive,A,0.06271231
bill,X,management,A,-0.0018937928
bill,X,professional,A,0.018925749
bill,X,corporation,A,0.14744034
bill,X,salary,A,0.15803728
bill,X,office,A,0.05107536
bill,X,business,A,0.10164325
bill,X,career,A,0.05802246
bill,X,home,B,0.11923671
bill,X,parents,B,0.10315067
bill,X,children,B,0.096640036
bill,X,family,B,0.096771955
bill,X,cousins,B,-0.0021088268
bill,X,marriage,B,0.104449704
bill,X,wedding,B,0.05315159
bill,X,relatives,B,0.07124821
amy,Y,executive,A,-0.07542122
amy,Y,management,A,0.0129514765
amy,Y,professional,A,0.035668295
amy,Y,corporation,A,0.036936637
amy,Y,salary,A,0.024757845
amy,Y,office,A,0.019922998
amy,Y,business,A,-0.038382143
amy,Y,career,A,0.012219038
amy,Y,home,B,0.0779188
amy,Y,parents,B,0.1070957
amy,Y,children,B,0.08253518
amy,Y,family,B,0.07098528
amy,Y,cousins,B,0.14335212
amy,Y,marriage,B,0.12968399
amy,Y,wedding,B,0.11437217
amy,Y,relatives,B,0.074689314
joan,Y,executive,A,-0.058887336
joan,Y,management,A,-0.0068305335
joan,Y,professional,A,0.033725735
joan,Y,corporation,A,0.008078479
joan,Y,salary,A,-0.0056833713
joan,Y,office,A,-0.038679026
joan,Y,business,A,-0.037529815
joan,Y,career,A,-0.03785786
joan,Y,home,B,-0.014364876
joan,Y,parents,B,0.08608572
joan,Y,children,B,0.07872411
joan,Y,family,B,0.044168606
joan,Y,cousins,B,0.17115892
joan,Y,marriage,B,0.14932206
joan,Y,wedding,B,0.13745835
joan,Y,relatives,B,0.07162549
lisa,Y,executive,A,-0.10896565
lisa,Y,management,A,0.048259333
lisa,Y,professional,A,0.05794341
lisa,Y,corporation,A,0.034651056
lisa,Y,salary,A,0.06429098
lisa,Y,office,A,0.07630708
lisa,Y,business,A,-0.0059853345
lisa,Y,career,A,0.031599455
lisa,Y,home,B,0.06330912
lisa,Y,parents,B,0.10904981
lisa,Y,children,B,0.11556017
lisa,Y,family,B,0.053695332
lisa,Y,cousins,B,0.16182771
