target_word,target_group,attribute_word,attribute_group,cosine_similarity
math,X,brother,A,0.051426545
math,X,father,A,0.07754657
math,X,uncle,A,0.052590095
math,X,grandfather,A,0.0672432
math,X,son,A,0.0970743
math,X,he,A,0.08779456
math,X,his,A,0.009224673
math,X,him,A,0.049891584
math,X,sister,B,0.085755214
math,X,mother,B,0.13349758
math,X,aunt,B,0.09966781
math,X,grandmother,B,0.10512157
math,X,daughter,B,0.16306844
math,X,she,B,0.13646379
math,X,hers,B,0.12902763
math,X,her,B,0.08370547
algebra,X,brother,A,0.036310248
algebra,X,father,A,0.09186162
algebra,X,uncle,A,0.050828304
algebra,X,grandfather,A,0.0723507
algebra,X,son,A,0.10879703
algebra,X,he,A,0.08636316
algebra,X,his,A,0.019920882
algebra,X,him,A,0.04228927
algebra,X,sister,B,0.08100359
algebra,X,mother,B,0.16043901
algebra,X,aunt,B,0.12504393
algebra,X,grandmother,B,0.12420358
algebra,X,daughter,B,0.1807768
algebra,X,she,B,0.1297148
algebra,X,hers,B,0.12500484
algebra,X,her,B,0.07955632
geometry,X,brother,A,0.01607874
geometry,X,father,A,0.074215144
geometry,X,uncle,A,-0.002379026
geometry,X,grandfather,A,0.06270814
geometry,X,son,A,0.053893417
geometry,X,he,A,0.034431983
geometry,X,his,A,0.04285969
geometry,X,him,A,0.045052562
geometry,X,sister,B,0.00031825108
geometry,X,mother,B,0.063238956
geometry,X,aunt,B,0.025361817
geometry,X,grandmother,B,0.050574105
geometry,X,daughter,B,0.072815254
geometry,X,she,B,0.034379393
geometry,X,hers,B,0.098650776
geometry,X,her,B,0.046297476
calculus,X,brother,A,0.0752331
calculus,X,father,A,0.13664553
calculus,X,uncle,A,0.102668546
calculus,X,grandfather,A,0.08740465
calculus,X,son,A,0.12745446
calculus,X,he,A,0.1266983
calculus,X,his,A,0.02892948
calculus,X,him,A,0.034592185
calculus,X,sister,B,0.033173196
calculus,X,mother,B,0.13411437
calculus,X,aunt,B,0.09446434
calculus,X,grandmother,B,0.063000545
calculus,X,daughter,B,0.13865353
calculus,X,she,B,0.1260234
calculus,X,hers,B,0.10947536
calculus,X,her,B,0.04061974
equations,X,brother,A,0.046136435
equations,X,father,A,0.09032528
equations,X,uncle,A,0.072461225
equations,X,grandfather,A,0.0811934
equations,X,son,A,0.056843095
equations,X,he,A,0.035480525
equations,X,his,A,0.014369122
equations,X,him,A,0.02185909
equations,X,sister,B,-0.02100309
equations,X,mother,B,0.04492378
equations,X,aunt,B,0.015764413
equations,X,grandmother,B,0.0057045883
equations,X,daughter,B,0.04714526
equations,X,she,B,0.036737245
equations,X,hers,B,0.07139941
equations,X,her,B,0.014064459
computation,X,brother,A,0.0050167013
computation,X,father,A,0.0040632035
computation,X,uncle,A,-0.02211211
computation,X,grandfather,A,0.0010119693
computation,X,son,A,-0.025154019
computation,X,he,A,0.0040098736
computation,X,his,A,-0.06937423
computation,X,him,A,-0.053732637
computation,X,sister,B,-0.02442671
computation,X,mother,B,0.014978366
computation,X,aunt,B,-0.022091186
computation,X,grandmother,B,0.0009759929
computation,X,daughter,B,-0.017765924
computation,X,she,B,0.033698652
computation,X,hers,B,0.01782836
computation,X,her,B,-0.014925929
numbers,X,brother,A,-0.031817477
numbers,X,father,A,-0.024177892
numbers,X,uncle,A,5.5401442e-06
numbers,X,grandfather,A,-0.0034349884
numbers,X,son,A,-0.06937395
numbers,X,he,A,0.13157652
numbers,X,his,A,0.049241927
numbers,X,him,A,0.080468334
numbers,X,sister,B,-0.052242484
numbers,X,mother,B,0.0029296363
numbers,X,aunt,B,0.044149682
numbers,X,grandmother,B,0.05744667
numbers,X,daughter,B,-0.06877079
numbers,X,she,B,0.0827398
numbers,X,hers,B,0.086375244
numbers,X,her,B,0.027435957
addition,X,brother,A,-0.013186466
addition,X,father,A,-0.06387429
addition,X,uncle,A,-0.07798861
addition,X,grandfather,A,-0.033420276
addition,X,son,A,-0.0049997256
addition,X,he,A,0.038539156
addition,X,his,A,0.09011627
addition,X,him,A,-0.0539174
addition,X,sister,B,0.009798326
addition,X,mother,B,-0.06385346
addition,X,aunt,B,-0.021018624
addition,X,grandmother,B,-0.051797338
addition,X,daughter,B,-0.0073719295
addition,X,she,B,0.014126221
addition,X,hers,B,-0.0449401
addition,X,her,B,0.024231782
poetry,Y,brother,A,0.09905218
poetry,Y,father,A,0.16038759
poetry,Y,uncle,A,0.1589595
poetry,Y,grandfather,A,0.18533662
poetry,Y,son,A,0.12435041
poetry,Y,he,A,0.165191
poetry,Y,his,A,0.12375412
poetry,Y,him,A,0.0977483
poetry,Y,sister,B,0.11399463
poetry,Y,mother,B,0.23034173
poetry,Y,aunt,B,0.21045998
poetry,Y,grandmother,B,0.24812455
poetry,Y,daughter,B,0.16828695
poetry,Y,she,B,0.2231067
poetry,Y,hers,B,0.23214436
poetry,Y,her,B,0.19728878
art,Y,brother,A,-0.018324692
art,Y,father,A,0.05286778
art,Y,uncle,A,0.053036682
art,Y,grandfather,A,0.07293395
art,Y,son,A,0.04153263
art,Y,he,A,0.054605566
art,Y,his,A,0.042193808
art,Y,him,A,0.031106679
art,Y,sister,B,0.037615974
art,Y,mother,B,0.089436755
art,Y,aunt,B,0.10404109
art,Y,grandmother,B,0.11162972
art,Y,daughter,B,0.0849235
art,Y,she,B,0.110265136
art,Y,hers,B,0.07733906
art,Y,her,B,0.10850975
shakespeare,Y,brother,A,-0.01571041
shakespeare,Y,father,A,-0.014936577
shakespeare,Y,uncle,A,0.065535784
shakespeare,Y,grandfather,A,0.08554875
shakespeare,Y,son,A,-0.03417512
shakespeare,Y,he,A,0.042692773
shakespeare,Y,his,A,-0.012353215
shakespeare,Y,him,A,0.070794806
shakespeare,Y,sister,B,0.02780691
shakespeare,Y,mother,B,0.05825048
shakespeare,Y,aunt,B,0.07890002
shakespeare,Y,grandmother,B,0.0920378
shakespeare,Y,daughter,B,0.0061194543
shakespeare,Y,she,B,0.080441765
shakespeare,Y,hers,B,0.14079031
shakespeare,Y,her,B,0.037967104
dance,Y,brother,A,0.04032243
dance,Y,father,A,0.0640705
dance,Y,uncle,A,0.067585565
dance,Y,grandfather,A,0.03880196
dance,Y,son,A,0.051883873
dance,Y,he,A,0.07403799
dance,Y,his,A,0.041719705
dance,Y,him,A,0.09750055
dance,Y,sister,B,0.11192635
dance,Y,mother,B,0.14253564
dance,Y,aunt,B,0.14001073
dance,Y,grandmother,B,0.15834834
dance,Y,daughter,B,0.14344668
dance,Y,she,B,0.19666651
dance,Y,hers,B,0.13847783
dance,Y,her,B,0.18140003
literature,Y,brother,A,-0.009510789
literature,Y,father,A,0.09267361
literature,Y,uncle,A,0.049100075
literature,Y,grandfather,A,0.11258333
literature,Y,son,A,0.06308606
literature,Y,he,A,0.13628083
literature,Y,his,A,0.08095887
literature,Y,him,A,0.08700983
literature,Y,sister,B,0.036650676
literature,Y,mother,B,0.15860762
literature,Y,aunt,B,0.11292558
literature,Y,grandmother,B,0.15689544
literature,Y,daughter,B,0.118829176
literature,Y,she,B,0.21057674
literature,Y,hers,B,0.11945895
literature,Y,her,B,0.17072593
novel,Y,brother,A,0.042933457
novel,Y,father,A,0.1056874
novel,Y,uncle,A,0.06833527
novel,Y,grandfather,A,0.12688844
novel,Y,son,A,0.079568096
novel,Y,he,A,0.009089628
novel,Y,his,A,0.053443663
novel,Y,him,A,0.029978886
novel,Y,sister,B,0.09847317
novel,Y,mother,B,0.15256083
novel,Y,aunt,B,0.14113209
novel,Y,grandmother,B,0.17363948
novel,Y,daughter,B,0.11542962
novel,Y,she,B,0.0634702
novel,Y,hers,B,0.13031971
novel,Y,her,B,0.10818647
symphony,Y,brother,A,-0.032364707
symphony,Y,father,A,0.031698436
symphony,Y,uncle,A,0.01978824
symphony,Y,grandfather,A,0.06666339
symphony,Y,son,A,0.023528267
symphony,Y,he,A,0.10550855
symphony,Y,his,A,0.10727195
symphony,Y,him,A,0.059029385
symphony,Y,sister,B,-0.033978123
symphony,Y,mother,B,0.06351175
symphony,Y,aunt,B,0.02989885
